ShortPassing,BallControl,Reactions,Composure
0.09589041095890405,0.09859154929577474,0.2266666666666668,0.08108108108108114
0.452054794520548,0.380281690140845,0.3866666666666667,0.40540540540540526
0.4794520547945207,0.323943661971831,0.2266666666666668,0.29729729729729737
0.26027397260273966,0.014084507042253502,0.040000000000000036,-0.10810810810810811
0.23287671232876717,0.07042253521126773,-0.11999999999999988,-0.16216216216216228
0.5342465753424657,0.295774647887324,0.30666666666666664,0.5135135135135136
0.23287671232876717,0.04225352112676073,-0.11999999999999988,0.027027027027026973
-0.09589041095890405,0.014084507042253502,-0.06666666666666665,-0.21621621621621623
0.36986301369863006,0.15492957746478875,-0.013333333333333197,0.10810810810810811
0.36986301369863006,0.23943661971830998,0.19999999999999996,0.16216216216216206
0.42465753424657526,0.267605633802817,0.30666666666666664,0.16216216216216206
0.4794520547945207,0.267605633802817,0.2533333333333334,0.3783783783783783
-0.06849315068493156,-0.07042253521126751,-0.013333333333333197,-0.10810810810810811
0.5890410958904106,0.5211267605633805,0.41333333333333333,0.40540540540540526
0.28767123287671215,0.267605633802817,0.2266666666666668,0.2702702702702702
0.5342465753424657,0.352112676056338,0.3600000000000001,0.054054054054053946
-0.2602739726027399,-0.6338028169014083,-0.09333333333333327,-0.24324324324324342
0.34246575342465757,0.380281690140845,0.30666666666666664,0.29729729729729737
0.23287671232876717,0.04225352112676073,0.09333333333333349,0.16216216216216206
0.39726027397260255,0.295774647887324,0.17333333333333334,0.054054054054053946
0.452054794520548,0.323943661971831,0.30666666666666664,0.6216216216216215
0.12328767123287676,0.04225352112676073,-0.013333333333333197,-0.10810810810810811
0.20547945205479445,0.18309859154929597,0.2266666666666668,0.18918918918918903
0.6164383561643834,0.5492957746478875,0.4666666666666668,0.29729729729729737
0.39726027397260255,0.014084507042253502,0.17333333333333334,-0.18918918918918926
0.06849315068493134,0.04225352112676073,-0.52,-0.45945945945945965
0.23287671232876717,0.12676056338028174,0.2266666666666668,0.29729729729729737
0.31506849315068486,0.21126760563380298,-0.013333333333333197,0.18918918918918903
0.6986301369863015,0.5492957746478875,0.6000000000000001,0.6756756756756754
-0.452054794520548,-0.26760563380281677,-0.2533333333333334,-0.5405405405405406
0.36986301369863006,0.295774647887324,0.43999999999999995,0.18918918918918903
0.39726027397260255,0.323943661971831,0.3866666666666667,0.43243243243243246
-0.06849315068493156,0.12676056338028174,0.2533333333333334,0.3513513513513513
0.013698630136986356,-0.09859154929577452,-0.3866666666666667,-0.45945945945945965
